fileName,variableName,description,unitText
behaviour.csv,id,auto-filled with next available number,NA
behaviour.csv,version,unknown,NA
behaviour.csv,behaviour,recorded behavior (see behavior codes),NA
behaviour.csv,color_left,color or combination of colours in the  left ear,NA
behaviour.csv,color_right,color or combination of colours in the  right ear,NA
behaviour.csv,comments,comments,NA
behaviour.csv,date,date that behavior was recorded in the  field,yyyy-mm-dd
behaviour.csv,date_created,date that behavior record was first  entered in database,yyyy-mm-dd hh:mm:ss
behaviour.csv,detail,recorded behaviour detail (see behavior  codes),NA
behaviour.csv,grid,two or three letters representing the  grid on which the data were collected,NA
behaviour.csv,hand,indication of whether the squirrel was  eating left or right handed,NA
behaviour.csv,last_updated,date that behavior was last updated in  database,yyyy-mm-dd hh:mm:ss
behaviour.csv,locx,spatial x coordinate of the recorded  behaviour,NA
behaviour.csv,locy,spatial y coordinate of the recorded  behaviour,NA
behaviour.csv,mode,the manner in which the data were collected,NA
behaviour.csv,observer,two or three letters representing  initials of observer,NA
behaviour.csv,squirrel_id,unique numeric identifier for each  individual,NA
behaviour.csv,tag_left,a unique 5 or 6 digit alpha-numeric code  for eartag in left ear,NA
behaviour.csv,tag_right,a unique 5 or 6 digit alpha-numeric code  for eartag in right ear,NA
behaviour.csv,time,time that behaviour was recorded in the  field,hh:mm:ss
census.csv,id,auto-filled with next available number,NA
census.csv,version,unknown,NA
census.csv,census_date,date of census  (05/15/YYYY or 08/15/YYYY) or date of change in ownership,yyyy-mm-dd
census.csv,colorlft,color or combination of colours in the  left ear,NA
census.csv,colorrt,color or combination of colours in the right ear,NA
census.csv,comments,comments,NA
census.csv,date_created,date that census record was first entered  in database,yyyy-mm-dd hh:mm:ss
census.csv,gr,two or three letters representing the  grid on which the data were collected,NA
census.csv,last_updated,date that census record was last updated  in database,yyyy-mm-dd hh:mm:ss
census.csv,locx,spatial x coordinate of midden owned,NA
census.csv,locy,spatial y coordinate of midden owned,NA
census.csv,obs,two or three letters representing the  observer initials,NA
census.csv,reflo,reference location of the midden up to 5  alpha-numeric combinations including dots and minus signs,NA
census.csv,sex,sex of the squirrel - Male (M) or Female  (F),NA
census.csv,sq_fate,numeric code indicating the fate of the  squirrel in the census,NA
census.csv,squirrel_id,unique numeric identifier for each  individual,NA
census.csv,taglft,a unique 5 or 6 digit alpha-numeric code  for eartag in left ear,NA
census.csv,tagrt,a unique 5 or 6 digit alpha-numeric code  for eartag in right ear,NA
census.csv,trap,were the traps on the midden hung in the  fall - Y or N,NA
cones.csv,Grid,two or three letters  representing the grid on which the data were collected,NA
cones.csv,Year,year in which data were collected,NA
cones.csv,Stake,grid stake nearest the cone count tree,NA
cones.csv,LocX,spatial x coordinate of the cone count  tree,NA
cones.csv,LocY,spatial y coordinate of the cone count  tree,NA
cones.csv,DBH,diameter at breast height of cone count  tree (not updated each year),cm
cones.csv,Distance,distance of cone count tree from the  nearest grid stake,m
cones.csv,Direction,direction of cone count tree from nearest  grid stake,degrees
cones.csv,Per,percent cover of cones in top 3 m of tree,NA
cones.csv,New_Tree,is this a new tree counted for the first  time? - Y or N,NA
cones.csv,Status,status of cone count tree relative to  amount of bark beetle damage,NA
cones.csv,Count_Date,date on which the cones were counted,yyyy-mm-dd
cones.csv,NumNew,number of new cones in top 3 m of tree,NA
cones.csv,Comments,comments,NA
dbaadmums.csv,id,auto-filled with next available number,NA
dbaadmums.csv,squirrel_id,unique numeric identifier for each  individual,NA
dbaadmums.csv,Grid,two or three letters representing the  grid on which the data were collected,NA
dbaadmums.csv,BR,breeding status,NA
dbaadmums.csv,YR,year in which data were collected,NA
dbaadmums.csv,Age,age of female in current year,NA
dbaadmums.csv,LN,litter number,NA
dbaadmums.csv,tagLft,a unique 5 or 6 digit alpha-numeric code  for eartag in left ear,NA
dbaadmums.csv,tagRt,a unique 5 or 6 digit alpha-numeric code  for eartag in right ear,NA
dbaadmums.csv,tagLftNum,a unique 5 or 6 digit numeric code for  eartag in left ear,NA
dbaadmums.csv,tagRtNum,a unique 5 or 6 digit numeric code for  eartag in right ear,NA
dbaadmums.csv,locX,spatial x coordinate of the mother midden,NA
dbaadmums.csv,locY,spatial y coordinate of the mother midden,NA
dbaadmums.csv,Ratio,proportion of males in litter,NA
dbaadmums.csv,Food,numeric code indicating type of  experimental manipulation,NA
dbaadmums.csv,KidE,number of kids to emergence,NA
dbaadmums.csv,KidW,number of kids to weaning,NA
dbaadmums.csv,KidF,number of kids surviving to August 1,NA
dbaadmums.csv,KidS,number of kids surviving to May 1,NA
dbaadmums.csv,MWt,mother weight within 10 days after birth,grams
dbaadmums.csv,MWt2,mother weight 1 week either side of day  70,grams
dbaadmums.csv,LitWt,unknown,NA
dbaadmums.csv,KidWt,unknown,NA
dbaadmums.csv,EX,unknown,NA
dbaadmums.csv,Pre,"litter in previous year? (1 = no, 2 =  yes)",NA
dbaadmums.csv,LSize,litter size,NA
dbaadmums.csv,Lsc,litter size code,NA
dbaadmums.csv,FU,mother killed by human causes,NA
dbaadmums.csv,Mom,unknown,NA
dbaadmums.csv,MomB,mother behavior,NA
dbaadmums.csv,MomM,fate of mother midden,NA
dbaadmums.csv,MomS,mother location in spring,NA
dbaadmums.csv,MomF,unknown,NA
dbaadmums.csv,Marker,unique combination of LN + YR + taglft +  tagrt,NA
